title,,genre,author,isbn,book_seamus_id,hide_ibooks,text,reviewer,slug,tags,reviewer ID,reviewer link,html text,oclc,entity_count,id
United Working Families,,,,978-0-123456-47-122,1,,"A new ""Independent Political Organization"" in Illinois with major support from Chicago Teachers Union and SEIU, Action Now, and the Grassroots Collaborative, with a model inspired by Working Families Party.",,,"501c4,501c3,Illinois,PAC",,,,,3,297
V.O.T.E (Voice Of The Ex-Offender),,,,978-0-123456-47-123,1,,"An affiliate of USAction and CCC, VOP, is a strong statewide organizing organization that addresses issues that affect the quality of people's lives and runs major civic engagement programs, especially in rural areas.",,,"Statewide,501c4,501c3,Virginia",,,,,2,336
Virginia Organizing Project,,,,978-0-123456-47-124,1,,"<div>
<div dir=""ltr"">A statewide student organizing network at six campuses to fight the rise of college tuition, crushing student debt and for on-campus racial and social justice. Affiliated with New Virginia Majority.</div>
</div>",,,"Racial Justice,Youth,Statewide,501c4,501c3,Virginia",,,,,2,272
Virginia Student Power Network,,,,978-0-123456-47-125,1,,"National People's Action affiliate that has done both civic engagement & direct political work in state senate districts in New York City and NYC Metro. VOCAL-NY's base is among low-income people affected by HIV/AIDS, the drug war and mass incarceration.",,,"Mass Incarceration,501c4,501c3,New York",,,,,2,273
VOCAL-NY,,,,978-0-123456-47-126,1,,"One of the strongest state-based Immigrant Rights organizations, which also runs a major voter engagement program. Voces de la Frontera Action targeting base Latino voters in key wards in Milwaukee where they have dramatically increased turnout in past cycles.",,,"Voter Turnout,Latino,Immigrant Rights,501c4,501c3,Wisconsin",,,,,2,303
Voces de la Frontera,,,,978-0-123456-47-127,1,,"A small but potent group that organizes Louisiana prisoners, ex-offenders and their families to vote and organize for change.",,,"Louisiana,501c4,501c3",,,,,2,262
Washington Bus,,,,978-0-123456-47-128,1,,"Building youth power on campuses, in high schools, and in the community. Rolling out Seattle and Washington youth agendas for the first time and mobilizing voters for Seattle's and Yakima's historic 2015 city elections. Laying the groundwork for a carbon pollution ballot measure in 2016.",,,"Youth,501c4,501c3,Washington",,,,,2,330
West Virginia Healthy Kids &amp; Family Coalition and Our Vote Our Future,,,,978-0-123456-47-129,1,,Does great work including vote work in Western Colorado.,,,"501c4,501c3,Colorado",,,,,2,338
Western Colorado Congress,,,,978-0-123456-47-130,1,,National People's Action affiliated organizations in West Virginia. Significant statewide turnout capacity and ability to target swing vote State House races in 2016 Our Vote Our Future has formed a candidate pipeline doing trainings and recruitment of state legislative candidates across WVA.,,,"Voter Turnout,Statewide,West Virginia,501c4,501c3",,,,,2,255
WI Citizen Action,,,,978-0-123456-47-131,1,,"A strong affiliate of USAction that runs top-notch civic engagement programs statewide. Citizen Action of Wisconsin has over 42,000 individual members and 123,000 supporters.",,,"Statewide,501c4,501c3,Wisconsin",,,,,2,264
Wisconsin Jobs Now,,,,978-0-123456-47-132,1,,"A rising powerhouse organization based in Milwaukee, Madison and Fox Valley. Has major capacity. Affiliated with the Center for Popular Democracy.",,,"501c4,501c3,Wisconsin",,,,,2,260
Wisconsin Voices,,,,978-0-123456-47-133,1,,A strong State Voices table. Also the key group supporting youth and student organizing in Milwaukee and statewide.,,,"Youth,Statewide,501c3,Wisconsin",,,,,1,259
Wisconsin WFP,,,,978-0-123456-47-134,1,,The newest of the state-based Working Families Organizations. No website yet - funds can be routed through national WFP,,,"501c4,501c3,PAC,Wisconsin",,,,,3,261
Working Families Pennsylvania,,,,978-0-123456-47-135,1,,One of the newest Working Families Organizations. Working on issue fights and district and local races as well as statewide.,,,"Statewide,501c4,501c3,Pennsylvania,PAC",,,,,3,280
Working Washington,,,,978-0-123456-47-136,1,,A powerful and growing economic justice organization with significant field capacity. Partner of Center for Popular Democracy.,,,"501c4,501c3,Washington",,,,,2,380
La Machine,,,,978-0-123456-47-137,1,,"A crew of local organizers who cut their teeth in recent years winning local, state, and federal elections in Phoenix with potent field game are now launching an organization to engage young Arizonans year-round to make change. Affiliated with the Bus Federation, La Machine will register over 14,000 voters this year, work on ballot measures, contact tens of thousands to vote, and prepare a progressive agenda for the 2017 legislature.",,,"501c4,501c3,Arizona",,,,,2,557
